,address,amount,decimals,owner,lamports,ownerProgram,type,rentEpoch,executable
102,ERjFBQiZGdMJ37BezXr5Mt5d2CZfUPKeHkCz6RRapXQN,1458837501225,6,HEY64fu5RKybmKx2igjoimmevbejHPwBDtdpD4F3hrDb,5975818880,11111111111111111111111111111111,system_account,361,False
103,FZc7PWaq4NbYXif3wrHdWDQs8qr4THPu5yTF5JwCRQTf,1440444010000,6,3EVyiA1aiLY3mwJfuaAFbbNw7yuBR1FydxrFhXaC2K3L,9995000,11111111111111111111111111111111,system_account,361,False
104,7n6tCH5pGJS8xVdWs3wjZZprHTrmDT2y5vnhCXY3irig,1430669379155,6,Cj9Asoa9k2RzkvP2WHWWzoGHp4qokHMHnQUaAN8jfSx9,1335120,11111111111111111111111111111111,system_account,361,False
105,2g4nVKF62mxSffA4o54Guo2fpBXu9qitMfvQg16kjpBh,1422307563620,6,2jAQfKFsEXi1XFW63NkeZmGV3ZwZQoQvHbkvZKn68TS1,27467864110,11111111111111111111111111111111,system_account,361,False
106,2aY6QTab8GfkjEU8f7jxxdeXbgKhqRK65Q3kJvLZiQTf,1415320632031,6,BVoVZpgquDfXieM43RBgtC32SjCGnxbWbWiunVjebx2S,889132534138,11111111111111111111111111111111,system_account,361,False
107,Gh2YaVC1sjzZQMixnHNXDin6awBAV6p2D5zY8STMu4p4,1397982352723,6,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,63947944,11111111111111111111111111111111,system_account,361,False
108,77XHXCWYQ76E9Q3uCuz1geTaxsqJZf9RfX5ZY7yyLDYt,1374911670041,6,AnKLLfpMcceM6YXtJ9nGxYekVXqfWy8WNsMZXoQTCVQk,1704320,DecZY86MU5Gj7kppfUCEmd4LbXXuyZH1yHaP2NTqdiZB,unclassified,361,False
109,8kwy9X8GpvE4DPdHDSyftzWw1y46jkGTBcMcCPze2kjD,1307785682241,6,HcPP2H6G73RcQmxfyJ73ABGwT7RK1tfs67jhg8uT1btU,377282024361,11111111111111111111111111111111,system_account,361,False
110,GZiJEop7SNozp96gDgyLKwYrvuBd3zBbWxvKTqQ3ydpf,1305411390613,6,2JV8tqtgwwLA85X6xbUgDbqT6jXAqAWCK3h56HFvzbWk,2039280,11111111111111111111111111111111,system_account,361,False
111,HEnTiq7EcYagc1Qj25mt175KDqbQpLi1GoNjRjn4Vaii,1261767660680,6,DdHDoz94o2WJmD9myRobHCwtx1bESpHTd4SSPe6VEZaz,47092844089044,11111111111111111111111111111111,system_account,361,False
112,8vPGw7d6a4rmejVg2uXMs8kvEnVy7WgN1oNk9mRpdfGP,1260025716215,6,71hhezkHQ2dhmPySsHVCCkLggfWzPFEBdfEjbn4NCXMG,208531865065,11111111111111111111111111111111,system_account,361,False
113,AQB19MQNtJajGAHddxntjqyvV88jt6fGpHwfGuX5EEYe,1255807877492,6,2F3a7JtqBzUcrjVno9RtEEwR99tR5vweEsyTzVJ6JUZk,2039280,11111111111111111111111111111111,system_account,361,False
114,9FqsbTncnfV3YRT1BYMB5gLdfvszHox9feXBuQd2WS4Q,1250000000000,6,94UgJVg7w9GhFDvJfk4LUwK5LC3LYCyTFu5ewQURHMYR,988000720,11111111111111111111111111111111,system_account,361,False
115,75HgnSvXbWKZBpZHveX68ZzAhDqMzNDS29X6BGLtxMo1,1238644051739,6,JU8kmKzDHF9sXWsnoznaFDFezLsE5uomX2JkRMbmsQP,2074280,11111111111111111111111111111111,system_account,361,False
116,BH2LFa14sewkLy1fSCrLA3wHCVrugvDegmgup4gUTPkL,1214059112389,6,DicoD5Nx3csciN3LNhEnhrgUbUBiKwEsuaUbnAaYky75,11731776634,11111111111111111111111111111111,system_account,361,False
117,68CpJumuvbij41kSjnaKcMpTpRsYDAFcKT9KHcm479No,1170551000000,6,4ABc2ZK4Yvq6pVoxwXMmrxXER25cFzM6CXikR2sBF5YF,603580718,11111111111111111111111111111111,system_account,361,False
118,4GdzHscRFZduiMpudQwNBhokcgC7RU4PWGsJ1cG3fQse,1144890728888,6,A5QxugFH3noahNvYfrF6d2yxdLb5hjHkdvYZTMpk34Gd,171223840,11111111111111111111111111111111,system_account,361,False
119,6LjDEKsR6gF7DvSq2XWkqG1BRx6qykxskdwwXHtLdKh1,1123640658908,6,ARPqNbZsSEhzYUoHnbsYFFsXH2uLiP8hpZBPimfsrr27,5045901440,11111111111111111111111111111111,system_account,361,False
120,FcG8WYNNUS7EyhLZmnfRmK6vMtGqYXbWDo3QKBdmXSpS,1107393427368,6,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,63947944,11111111111111111111111111111111,system_account,361,False
121,5437vKVFhQp2ZQhs1o8wdNZ2hgzNLfEwWCu91UVe1cBX,1093957117076,6,5P8QZdPo2pipnpPQ6njUqjLH9kRnRgweDJptdDTu9iZT,12337587687,11111111111111111111111111111111,system_account,361,False
122,4QRTWt6eaJo8oPHmSsqUMMNPZYir4Eqdk9E2MrY8c5vB,1087980337500,6,2Z1aHAUqnfEVv4LuuujvSJoFVWLmTqsD9UnK5Ur43VJj,6039280,11111111111111111111111111111111,system_account,361,False
123,GE89btKUaceZW84quFzighUGQrE9TW3GTvxueWqfTxZc,1081243183547,6,GUnrDsgPtDPKM4HDXQpXJk8DmqkWHsKgsgRFTVq7TVfP,993837160,11111111111111111111111111111111,system_account,361,False
124,J2m2c1w2R4e3tfExMcAx4zF4WUgKLcfUt9bq4gXPW7Q7,1071388061729,6,F5Jwa9T86wh2rXRWGyV1cZ4mKijaBHTmLJWEi5kTVVkk,51966440,11111111111111111111111111111111,system_account,361,False
125,E4pzDazDUDKB7FdieTs9Ntd9XFzVvVJN6LFtuaTqRDK9,1068105790794,6,81jnRTGJNkwaj9PZtNGGe3gx3vyArALf8ZPv6UxHdWwY,263396720,11111111111111111111111111111111,system_account,361,False
126,F3LiWffWBTMufheX9WM21VgJq3wD13hYCdw4yVeHfsKD,1042032629332,6,GSHfodDmaFmanaZqRrxwB5d91z93BeQ6gHnNoq3Q1HaB,2088070899,11111111111111111111111111111111,system_account,361,False
127,2nQE7s7B58SVKEgAvr1FBaiPvwZnD3DrtnDrDNbPZcVW,1018157012356,6,7s3fHFbz14P5CJsC2rkVwimbfWrvv41qmq25nhVtruFJ,85951944800,11111111111111111111111111111111,system_account,361,False
128,7GKHWVvb5fdYDPAScMrMn2ZjphhEw3ohrBPuqMYvtZJr,1012496768847,6,8LX14tmFNWGmt6b67DGv1qT5rdGfqHiBD9uLwV5Rs8tr,908070036521,11111111111111111111111111111111,system_account,361,False
129,3HzbVYHhhcjSUhjSeRq4snjJrdATcBFJ3L8zHqhS7Rj7,1010661895848,6,7UQ4PHQC5opWvBe8H9DH9t8WeDqiArgJMYmnJnwAoSbi,392322212,11111111111111111111111111111111,system_account,361,False
130,J9BSq7UVkat4PZmwC19sVEgDsoT4J1GTdsTLoTiG67po,1007111403338,6,7WEAxvYXpvZzn7Cucd3Xr8ayAjVGiS8hWkKBFC9QQLLJ,15586440,11111111111111111111111111111111,system_account,361,False
131,9uepMyGCHjzbJuxxaAHWnTVbmJY46WdPBKkpPEyk8yCD,1000236205351,6,3LZzt4FDutDXCCuZcHGvJxpGAXEx4NfonT5LpLiYfw1a,973935600,11111111111111111111111111111111,system_account,361,False
